,user_id,event_name,event_dt,duration_sec
0,--0-b0cbb8-a,tutorial_completed,2020-06-08 13:46:07,30
1,--014ca35_b7,tutorial_completed,2020-05-09 04:20:13,41
2,--0424774bcb,tutorial_completed,2020-05-30 07:23:05,51
3,--043682a1ad,tutorial_completed,2020-05-15 03:14:40,51
4,--05-26b0-6b,tutorial_completed,2020-05-20 13:07:08,56
5,--08-9-27837,tutorial_completed,2020-04-04 16:55:32,63
6,--0879c8c638,tutorial_completed,2020-06-22 07:53:02,64
7,--1-abff208-,tutorial_completed,2020-05-17 22:54:55,72
8,--13_f829805,tutorial_completed,2020-05-09 16:25:56,74
9,--158fa03d_f,tutorial_completed,2020-04-24 13:48:53,77
10,--1603_0b1-_,tutorial_completed,2020-06-23 13:35:17,83
11,--1d8760d14a,tutorial_completed,2020-06-02 00:43:56,85
12,--1f2_-0a60d,tutorial_completed,2020-05-24 12:11:14,85
13,--29fbc1-_84,tutorial_completed,2020-06-22 22:59:43,90
14,--2f602fc4_4,tutorial_completed,2020-05-01 13:02:57,92
15,--30_072-3b4,tutorial_completed,2020-04-13 22:21:04,94
16,--379586c780,tutorial_completed,2020-04-09 09:20:17,96
17,--41_48-960_,tutorial_completed,2020-05-28 15:02:03,98
18,--4236df-601,tutorial_completed,2020-05-31 19:05:54,98
19,--474_b5c484,tutorial_completed,2020-06-28 11:01:05,103
20,--486fd__1b5,tutorial_completed,2020-04-18 14:02:47,107
21,--4_-cbf0c-9,tutorial_completed,2020-06-27 21:38:28,109
22,--4aa6500_11,tutorial_completed,2020-05-17 20:56:56,110
23,--54-5a_4460,tutorial_completed,2020-06-13 23:43:04,114
24,--5429c084-4,tutorial_completed,2020-05-23 05:58:27,116
25,--581__99d8a,tutorial_completed,2020-06-29 16:32:47,116
26,--59b08_42f2,tutorial_completed,2020-06-18 03:47:33,118
27,--5d1dd5d794,tutorial_completed,2020-06-28 02:16:12,120
28,--65c-a-278a,tutorial_completed,2020-05-15 20:48:52,120
29,--6968ca-40d,tutorial_completed,2020-04-04 05:30:43,121
30,--6f6d4__8a5,tutorial_completed,2020-04-14 09:24:12,121
31,--74f82a604b,tutorial_completed,2020-04-04 06:39:34,122
32,--7713_f68-4,tutorial_completed,2020-05-31 20:11:57,123
33,--77f30839ad,tutorial_completed,2020-04-17 14:31:59,125
34,--7b--_1b6d4,tutorial_completed,2020-04-21 02:28:17,126
35,--7d-ac600b6,tutorial_completed,2020-05-15 19:35:07,126
36,--7d6c34264_,tutorial_completed,2020-05-18 17:49:42,128
37,--80c21_5b3c,tutorial_completed,2020-04-20 00:46:11,136
38,--8418613b89,tutorial_completed,2020-06-11 01:13:04,137
39,--85056d4478,tutorial_completed,2020-04-04 02:12:42,139
40,--855ff239_a,tutorial_completed,2020-05-23 21:16:09,139
41,--8_9d55a6f5,tutorial_completed,2020-05-02 07:31:07,140
42,--8c67c8-54f,tutorial_completed,2020-05-11 08:05:09,144
43,--98dbca4a-a,tutorial_completed,2020-06-14 07:44:46,146
44,--9d_5a28a00,tutorial_completed,2020-05-07 23:47:12,146
45,--_-45b2aa11,tutorial_completed,2020-04-26 14:59:48,146
46,--_7a991fb_1,tutorial_completed,2020-05-23 04:11:54,146
47,--_863a-dba7,tutorial_completed,2020-06-18 11:19:34,147
48,--_899db7c_b,tutorial_completed,2020-06-13 00:13:21,147
49,--a86135b6d0,tutorial_completed,2020-04-09 05:41:30,149
50,--b3f__0bd6-,tutorial_completed,2020-05-12 06:33:05,150
51,--b65bca0f1f,tutorial_completed,2020-06-11 14:10:44,155
52,--b85ff6-874,tutorial_completed,2020-04-12 19:08:11,155
53,--c11c3c4515,tutorial_completed,2020-05-21 18:19:23,155
54,--c2_608-00c,tutorial_completed,2020-06-29 15:00:04,155
55,--c3dd9a0__3,tutorial_completed,2020-04-13 14:17:27,156
56,--c5f5d9a717,tutorial_completed,2020-04-20 13:25:16,157
57,--c6852_25b6,tutorial_completed,2020-05-08 05:20:47,161
58,--d1da0ca08b,tutorial_completed,2020-04-06 18:25:36,161
59,--d241a34f7f,tutorial_completed,2020-06-16 21:26:18,163
60,--d90d205bab,tutorial_completed,2020-05-26 15:00:51,164
61,--d97a7d08_7,tutorial_completed,2020-04-30 19:33:30,166
62,--d9c7c0-799,tutorial_completed,2020-05-18 22:27:39,168
63,--d_5a4974fb,tutorial_completed,2020-04-14 20:32:27,168
64,--dc7d59--da,tutorial_completed,2020-05-30 18:22:28,169
65,--dd9bf4588_,tutorial_completed,2020-06-29 09:04:24,169
66,--f-0ba944f6,tutorial_completed,2020-06-15 11:27:03,170
67,--f141586dcd,tutorial_completed,2020-05-10 03:40:54,171
68,--f2-9d_4db-,tutorial_completed,2020-05-12 18:00:01,172
69,--f2527c25af,tutorial_completed,2020-05-29 12:06:34,172
70,--f6114653f1,tutorial_completed,2020-05-07 17:05:35,173
71,-0-_645_6fa9,tutorial_completed,2020-05-27 22:28:26,173
72,-0-c9c72bf31,tutorial_completed,2020-04-28 15:16:54,175
73,-0-ca1d4393f,tutorial_completed,2020-05-09 18:36:36,179
74,-0054b7-44-5,tutorial_completed,2020-04-25 05:28:01,179
75,-0057-_63964,tutorial_completed,2020-05-05 17:40:12,180
76,-00570c12a02,tutorial_completed,2020-04-27 19:23:02,180
77,-005b4f-_-15,tutorial_completed,2020-05-30 20:49:02,181
78,-00_c93c97-d,tutorial_completed,2020-05-31 00:33:22,183
79,-00_d5-b0838,tutorial_completed,2020-06-21 17:29:24,184
80,-00a2484-6--,tutorial_completed,2020-06-04 00:31:26,185
81,-015-205cc6_,tutorial_completed,2020-06-06 17:21:32,186
82,-016f75_fc0-,tutorial_completed,2020-05-30 04:02:15,187
83,-01_2-58b3a-,tutorial_completed,2020-05-20 12:50:26,187
84,-01abf223_6-,tutorial_completed,2020-06-26 05:51:41,187
85,-01f-c5fdcf9,tutorial_completed,2020-06-28 09:59:28,187
86,-020ba_03b4f,tutorial_completed,2020-04-01 08:32:43,188
87,-022f4681071,tutorial_completed,2020-05-27 07:28:39,188
88,-0246ad021b4,tutorial_completed,2020-06-08 05:40:41,191
89,-0250d1827a0,tutorial_completed,2020-05-07 02:07:25,192
90,-02dd24106a2,tutorial_completed,2020-06-22 22:16:02,192
91,-038f3d_ba86,tutorial_completed,2020-04-09 22:17:23,193
92,-04-32b8-473,tutorial_completed,2020-05-18 07:24:22,193
93,-040b9-49905,tutorial_completed,2020-04-11 01:25:56,193
94,-04_b207a-c5,tutorial_completed,2020-06-24 04:44:31,195
95,-05-f-0a5b0f,tutorial_completed,2020-05-25 13:39:08,196
96,-0535f7f3543,tutorial_completed,2020-04-26 16:59:03,197
97,-0547b74d510,tutorial_completed,2020-06-20 15:49:23,197
98,-055c2284a5a,tutorial_completed,2020-04-23 18:40:26,197
99,-05b-430bda3,tutorial_completed,2020-06-21 13:17:38,198
100,-06-19c5bc6d,tutorial_completed,2020-05-11 21:35:16,198
101,-060-07d239b,tutorial_completed,2020-04-24 10:59:01,198
102,-06455_7a__3,tutorial_completed,2020-05-06 09:55:41,199
103,-06_---09_5_,tutorial_completed,2020-06-21 08:58:10,200
104,-06d5837211a,tutorial_completed,2020-04-05 06:28:30,201
105,-07-bab5b-f4,tutorial_completed,2020-04-28 13:00:15,203
106,-0790195d-5d,tutorial_completed,2020-04-01 05:53:36,204
107,-07_2f3cc722,tutorial_completed,2020-04-04 05:51:25,205
108,-07c7da56aab,tutorial_completed,2020-06-14 13:48:06,206
109,-088bcc62575,tutorial_completed,2020-06-18 22:38:13,207
110,-08c_76a19cc,tutorial_completed,2020-04-05 13:53:25,209
111,-0911730b530,tutorial_completed,2020-06-29 18:10:29,209
112,-0925dfa81-2,tutorial_completed,2020-06-17 17:13:24,210
113,-093bc15f38_,tutorial_completed,2020-05-02 23:27:45,211
114,-09478418d89,tutorial_completed,2020-04-13 01:08:28,212
115,-09617b-af_d,tutorial_completed,2020-05-06 09:27:02,212
116,-0967799494a,tutorial_completed,2020-04-29 19:41:19,213
117,-09_3fa0975a,tutorial_completed,2020-05-07 08:12:43,214
118,-09f201fa0fc,tutorial_completed,2020-05-31 05:20:04,214
119,-0_1-_dd5-af,tutorial_completed,2020-06-20 21:41:40,215
120,-0_15b-85-2d,tutorial_completed,2020-04-05 02:17:01,215
121,-0_169_149ba,tutorial_completed,2020-04-07 01:03:10,215
122,-0_2b2d0dfcd,tutorial_completed,2020-04-26 09:04:18,217
